categorysingleplayer;categorymultiplayer;categorycoop;categorymmo;categoryvrsupport;genreisindie;genreisaction;genreisadventure;genreiscasual;genreisstrategy;genreisrpg;genreissimulation;genreissports;genreisracing;genreismassivelymultiplayer;recommendationcount;id
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;5418;3430
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;891;3440
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;5160;3450
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;266;3460
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;549;3480
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;153;3483
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;726;3490
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;135;3500
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;223;3510
false;true;false;false;false;true;true;false;false;true;false;false;false;false;false;7873;3520
false;true;false;false;false;true;true;false;false;true;false;false;false;false;false;7873;3530
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;3763;3540
true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;373;3560
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;3535;3570
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;1433;3580
true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;370;3590
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;16580;3600
true;false;true;false;false;false;false;false;false;true;false;false;false;false;false;151;3610
true;true;false;false;false;true;true;false;false;false;false;false;false;false;false;1232;3620
true;true;false;false;false;true;true;false;false;false;false;false;false;false;false;1232;3700
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;846;3710
true;true;false;false;false;false;false;false;false;false;false;false;false;true;false;1241;3720
true;true;false;false;false;false;true;false;false;true;false;false;false;false;false;453;3730
true;true;false;false;false;false;false;false;false;false;false;false;false;true;false;161;3800
true;false;false;false;false;false;false;true;false;false;true;false;false;false;false;397;3810
true;false;false;false;false;false;true;true;false;false;true;false;false;false;false;737;3820
true;true;false;true;false;false;true;false;false;false;false;false;false;false;true;1381;3830
true;true;false;false;false;true;false;false;false;true;false;true;false;false;false;333;3900
true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;499;3910
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1401;3920
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;854;3960
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;244;3980
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;877;3990
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;415;4000
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1144;4100
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;3895;4230
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;214;4230
